city,year,avg_temp
New York,1743,3.26
New York,1744,11.66
New York,1745,1.13
New York,1746,
New York,1747,
New York,1748,
New York,1749,
New York,1750,10.07
New York,1751,10.79
New York,1752,2.81
New York,1753,9.52
New York,1754,9.88
New York,1755,6.61
New York,1756,9.94
New York,1757,8.89
New York,1758,8.15
New York,1759,9.01
New York,1760,7.73
New York,1761,10.18
New York,1762,9.55
New York,1763,7.23
New York,1764,9.55
New York,1765,8.96
New York,1766,10.09
New York,1767,8.52
New York,1768,8.67
New York,1769,9.10
New York,1770,9.04
New York,1771,10.18
New York,1772,9.64
New York,1773,10.08
New York,1774,9.52
New York,1775,10.24
New York,1776,9.13
New York,1777,8.77
New York,1778,6.89
New York,1779,0.25
New York,1780,
New York,1781,9.79
New York,1782,9.15
New York,1783,8.81
New York,1784,8.40
New York,1785,8.49
New York,1786,8.98
New York,1787,8.97
New York,1788,9.77
New York,1789,9.42
New York,1790,9.39
New York,1791,9.37
New York,1792,8.72
New York,1793,9.88
New York,1794,9.83
New York,1795,9.21
New York,1796,8.97
New York,1797,8.85
New York,1798,9.71
New York,1799,9.19
New York,1800,9.58
New York,1801,10.00
New York,1802,10.29
New York,1803,10.07
New York,1804,9.69
New York,1805,10.43
New York,1806,9.38
New York,1807,9.17
New York,1808,9.57
New York,1809,8.87
New York,1810,9.35
New York,1811,9.43
New York,1812,7.80
New York,1813,8.93
New York,1814,8.70
New York,1815,8.27
New York,1816,7.92
New York,1817,7.78
New York,1818,8.13
New York,1819,9.07
New York,1820,8.98
New York,1821,8.53
New York,1822,9.84
New York,1823,8.64
New York,1824,9.29
New York,1825,10.21
New York,1826,9.92
New York,1827,9.26
New York,1828,10.70
New York,1829,9.17
New York,1830,10.32
New York,1831,9.07
New York,1832,9.15
New York,1833,9.15
New York,1834,9.32
New York,1835,8.48
New York,1836,7.51
New York,1837,8.12
New York,1838,8.73
New York,1839,9.17
New York,1840,9.27
New York,1841,9.00
New York,1842,9.41
New York,1843,8.49
New York,1844,9.12
New York,1845,9.49
New York,1846,9.66
New York,1847,9.30
New York,1848,9.54
New York,1849,8.83
New York,1850,9.10
New York,1851,9.26
New York,1852,8.98
New York,1853,9.68
New York,1854,9.56
New York,1855,9.11
New York,1856,8.20
New York,1857,8.52
New York,1858,9.13
New York,1859,9.17
New York,1860,9.18
New York,1861,9.47
New York,1862,9.00
New York,1863,9.09
New York,1864,9.29
New York,1865,9.64
New York,1866,8.95
New York,1867,8.59
New York,1868,7.95
New York,1869,8.85
New York,1870,10.04
New York,1871,8.94
New York,1872,8.61
New York,1873,8.44
New York,1874,9.06
New York,1875,7.74
New York,1876,9.35
New York,1877,10.15
New York,1878,10.38
New York,1879,9.37
New York,1880,9.99
New York,1881,9.77
New York,1882,9.22
New York,1883,8.59
New York,1884,9.36
New York,1885,8.37
New York,1886,8.90
New York,1887,9.10
New York,1888,8.31
New York,1889,9.86
New York,1890,9.62
New York,1891,10.00
New York,1892,9.15
New York,1893,8.68
New York,1894,9.95
New York,1895,9.22
New York,1896,9.51
New York,1897,9.63
New York,1898,10.24
New York,1899,9.51
New York,1900,10.40
New York,1901,9.29
New York,1902,9.43
New York,1903,9.32
New York,1904,7.87
New York,1905,9.10
New York,1906,9.90
New York,1907,8.49
New York,1908,9.87
New York,1909,9.51
New York,1910,9.55
New York,1911,9.91
New York,1912,9.24
New York,1913,10.76
New York,1914,9.02
New York,1915,9.85
New York,1916,9.10
New York,1917,8.24
New York,1918,9.51
New York,1919,10.05
New York,1920,9.19
New York,1921,10.91
New York,1922,10.04
New York,1923,9.51
New York,1924,8.85
New York,1925,9.72
New York,1926,8.54
New York,1927,9.70
New York,1928,9.82
New York,1929,9.97
New York,1930,10.22
New York,1931,11.03
New York,1932,10.44
New York,1933,10.18
New York,1934,9.48
New York,1935,9.48
New York,1936,9.73
New York,1937,10.16
New York,1938,10.42
New York,1939,10.07
New York,1940,8.53
New York,1941,10.19
New York,1942,9.96
New York,1943,9.58
New York,1944,10.01
New York,1945,9.94
New York,1946,10.63
New York,1947,9.91
New York,1948,9.83
New York,1949,11.39
New York,1950,9.72
New York,1951,10.27
New York,1952,10.52
New York,1953,11.17
New York,1954,10.31
New York,1955,10.39
New York,1956,9.75
New York,1957,10.50
New York,1958,9.16
New York,1959,10.77
New York,1960,9.76
New York,1961,10.03
New York,1962,9.32
New York,1963,9.32
New York,1964,9.96
New York,1965,9.63
New York,1966,9.75
New York,1967,9.30
New York,1968,9.75
New York,1969,9.76
New York,1970,9.77
New York,1971,10.01
New York,1972,9.49
New York,1973,10.96
New York,1974,10.08
New York,1975,10.56
New York,1976,9.53
New York,1977,9.96
New York,1978,9.17
New York,1979,10.02
New York,1980,9.86
New York,1981,9.95
New York,1982,9.78
New York,1983,10.51
New York,1984,10.26
New York,1985,10.26
New York,1986,10.15
New York,1987,10.32
New York,1988,9.93
New York,1989,9.66
New York,1990,11.32
New York,1991,11.36
New York,1992,9.57
New York,1993,10.04
New York,1994,10.00
New York,1995,10.24
New York,1996,9.81
New York,1997,10.00
New York,1998,11.82
New York,1999,11.16
New York,2000,9.97
New York,2001,10.93
New York,2002,11.25
New York,2003,9.84
New York,2004,10.39
New York,2005,10.68
New York,2006,11.52
New York,2007,10.63
New York,2008,10.64
New York,2009,10.14
New York,2010,11.36
New York,2011,11.27
New York,2012,11.97
New York,2013,12.16
